date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:44	48764/48764	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:17:43%20GMT	https://nephos.cssninja.io/home.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/home.html	(from )
15:47:45	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Oct%202019%2010:17:44%20GMT	https://nephos.cssninja.io/robots.txt		(from )
15:47:45	459/459	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Apr%202018%2018:24:09%20GMT	https://nephos.cssninja.io/assets/images/favicon.png	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/images/favicon.png	(from https://nephos.cssninja.io/home.html)
15:47:47	403939/403939	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:08%20GMT	https://nephos.cssninja.io/assets/css/bulma.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/css/bulma.css	(from https://nephos.cssninja.io/home.html)
15:47:48	484625/484625	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Apr%202018%2011:07:50%20GMT	https://nephos.cssninja.io/assets/css/core.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/css/core.css	(from https://nephos.cssninja.io/home.html)
15:47:48	1776/1776	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:48%20GMT	https://nephos.cssninja.io/assets/js/slick/slick.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/slick.css	(from https://nephos.cssninja.io/home.html)
15:47:49	3145/3145	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:48%20GMT	https://nephos.cssninja.io/assets/js/slick/slick-theme.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/slick-theme.css	(from https://nephos.cssninja.io/home.html)
15:47:50	6777/6777	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:50%20GMT	https://nephos.cssninja.io/assets/js/webuipopover/jquery.webui-popover.min.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/webuipopover/jquery.webui-popover.min.css	(from https://nephos.cssninja.io/home.html)
15:47:51	40508/40508	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:25:07%20GMT	https://nephos.cssninja.io/assets/js/izitoast/css/iziToast.min.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/izitoast/css/iziToast.min.css	(from https://nephos.cssninja.io/home.html)
15:47:52	1809/1809	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:51%20GMT	https://nephos.cssninja.io/assets/js/zoom/zoom.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/zoom/zoom.css	(from https://nephos.cssninja.io/home.html)
15:47:53	24727/24727	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:47%20GMT	https://nephos.cssninja.io/assets/js/jpcard/card.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/jpcard/card.css	(from https://nephos.cssninja.io/home.html)
15:47:54	8639/8639	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:11%20GMT	https://nephos.cssninja.io/assets/css/chosen/chosen.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/css/chosen/chosen.css	(from https://nephos.cssninja.io/home.html)
15:47:55	29013/29013	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2018:24:09%20GMT	https://nephos.cssninja.io/assets/css/icons.min.css	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/css/icons.min.css	(from https://nephos.cssninja.io/home.html)
15:47:56	929/929	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Apr%202018%2018:24:23%20GMT	https://nephos.cssninja.io/assets/images/logo/nephos.svg	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/images/logo/nephos.svg	(from https://nephos.cssninja.io/home.html)
15:47:57	61188/61188	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:17:57%20GMT	https://nephos.cssninja.io/account.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/account.html	(from https://nephos.cssninja.io/home.html)
15:47:58	1128/1128	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Apr%202018%2018:24:12%20GMT	https://nephos.cssninja.io/assets/images/avatars/altvatar.png	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/images/avatars/altvatar.png	(from https://nephos.cssninja.io/home.html)
15:47:59	59894/59894	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:17:59%20GMT	https://nephos.cssninja.io/cart-empty.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/cart-empty.html	(from https://nephos.cssninja.io/home.html)
15:48:00	55249/55249	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:18:00%20GMT	https://nephos.cssninja.io/authentication.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/authentication.html	(from https://nephos.cssninja.io/home.html)
15:48:01	154351/154351	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:18:01%20GMT	https://nephos.cssninja.io/products.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/products.html	(from https://nephos.cssninja.io/home.html)
15:48:02	58954/58954	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:18:02%20GMT	https://nephos.cssninja.io/index.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/index.html	(from https://nephos.cssninja.io/home.html)
15:48:04	270486/270486	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Apr%202018%2018:24:18%20GMT	https://nephos.cssninja.io/assets/images/bg/sidebar.jpeg	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/images/bg/sidebar.jpg	(from https://nephos.cssninja.io/home.html)
15:48:04	57665/57665	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:18:04%20GMT	https://nephos.cssninja.io/shop.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/shop.html	(from https://nephos.cssninja.io/home.html)
15:48:05	77297/77297	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:18:05%20GMT	https://nephos.cssninja.io/orders.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/orders.html	(from https://nephos.cssninja.io/home.html)
15:48:06	73340/73340	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2010:18:06%20GMT	https://nephos.cssninja.io/wishlist.html	/home/njnisarg/websites/nephos/nephos.cssninja.io/wishlist.html	(from https://nephos.cssninja.io/home.html)
15:48:07	2392/2392	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Apr%202018%2018:24:21%20GMT	https://nephos.cssninja.io/assets/images/icons/new-cart.svg	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/images/icons/new-cart.svg	(from https://nephos.cssninja.io/home.html)
15:48:09	264840/264840	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Apr%202018%2018:24:17%20GMT	https://nephos.cssninja.io/assets/images/bg/main-bg.jpg	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/images/bg/main-bg.jpg	(from https://nephos.cssninja.io/home.html)
15:48:10	464097/464097	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2021%20Apr%202018%2018:24:10%20GMT	https://nephos.cssninja.io/assets/js/app.js	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/app.js	(from https://nephos.cssninja.io/home.html)
15:48:10	27501/27501	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2021%20Apr%202018%2018:24:11%20GMT	https://nephos.cssninja.io/assets/js/nephos.js	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/nephos.js	(from https://nephos.cssninja.io/home.html)
15:48:11	4178/4178	---M--	200	added ('OK')	image/gif	date:Sat,%2021%20Apr%202018%2018:24:48%20GMT	https://nephos.cssninja.io/assets/js/slick/ajax-loader.gif	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/ajax-loader.gif	(from https://nephos.cssninja.io/assets/js/slick/slick-theme.css)
15:48:12	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2021%20Apr%202018%2018:25:08%20GMT	https://nephos.cssninja.io/assets/js/slick/fonts/slick.eot	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/fonts/slick.eot	(from https://nephos.cssninja.io/assets/js/slick/slick-theme.css)
15:48:13	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2021%20Apr%202018%2018:25:08%20GMT	https://nephos.cssninja.io/assets/js/slick/fonts/slick.eot?	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/fonts/slickd41d.eot	(from https://nephos.cssninja.io/assets/js/slick/slick-theme.css)
15:48:14	1380/1380	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2021%20Apr%202018%2018:25:09%20GMT	https://nephos.cssninja.io/assets/js/slick/fonts/slick.woff	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/fonts/slick.woff	(from https://nephos.cssninja.io/assets/js/slick/slick-theme.css)
15:48:15	1892/1892	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2021%20Apr%202018%2018:25:09%20GMT	https://nephos.cssninja.io/assets/js/slick/fonts/slick.ttf	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/fonts/slick.ttf	(from https://nephos.cssninja.io/assets/js/slick/slick-theme.css)
15:48:16	2152/2152	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Apr%202018%2018:25:08%20GMT	https://nephos.cssninja.io/assets/js/slick/fonts/slick.svg	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/slick/fonts/slick.svg	(from https://nephos.cssninja.io/assets/js/slick/slick-theme.css)
15:48:17	223/223	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Oct%202019%2010:18:17%20GMT	https://nephos.cssninja.io/assets/js/img/loading.gif	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/js/img/loading.gif	(from https://nephos.cssninja.io/assets/js/webuipopover/jquery.webui-popover.min.css)
15:48:18	234/234	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Oct%202019%2010:18:18%20GMT	https://nephos.cssninja.io/assets/fonts/fontawesome-webfont.eot?v=4.6.3	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/fonts/fontawesome-webfont5b62.eot	(from https://nephos.cssninja.io/assets/css/icons.min.css)
15:48:19	234/234	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Oct%202019%2010:18:19%20GMT	https://nephos.cssninja.io/assets/fonts/fontawesome-webfont.eot?	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/fonts/fontawesome-webfontd41d.eot	(from https://nephos.cssninja.io/assets/css/icons.min.css)
15:48:21	66624/66624	---M--	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2018:24:09%20GMT	https://nephos.cssninja.io/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/fonts/fontawesome-webfont5b62-2.html	(from https://nephos.cssninja.io/assets/css/icons.min.css)
15:48:21	235/235	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Oct%202019%2010:18:21%20GMT	https://nephos.cssninja.io/assets/fonts/fontawesome-webfont.woff?v=4.6.3	/home/njnisarg/websites/nephos/nephos.cssninja.io/assets/fonts/fontawesome-webfont5b62.woff	(from https://nephos.cssninja.io/assets/css/icons.min.css)
